Recency,Frequency,Monetary,Cluster,Customer_ID
289,3,5600,4,1
73,6,6459,1,2
223,4,3613,0,3
442,5,4339,4,4
425,5,2263,4,5
141,9,9439,2,6
143,8,4441,1,7
26,7,8192,2,8
142,7,4719,1,9
131,8,6693,2,10
103,8,5557,2,11
114,7,5047,1,12
259,5,3249,1,13
264,5,4010,1,14
82,5,2599,0,15
106,3,1907,0,16
103,8,8557,2,17
427,2,852,0,18
519,5,3953,4,19
77,4,2431,0,20
266,5,2422,0,21
14,5,1902,0,22
135,7,6804,2,23
145,4,2064,0,24
354,3,3395,0,25
185,3,2000,0,26
240,4,2891,0,27
309,4,4877,4,28
572,5,2229,4,29
58,4,1770,0,30
154,6,6204,1,31
864,5,4650,4,32
488,7,6593,2,33
301,1,1413,0,34
271,8,6569,2,35
26,4,2951,0,36
33,8,5934,2,37
237,4,2522,0,38
473,7,5773,4,39
278,6,5371,1,40
236,7,3714,1,41
20,6,4030,1,42
121,5,3217,1,43
69,4,2284,0,44
21,7,4984,1,45
146,8,7932,2,46
242,8,6455,2,47
26,3,2057,0,48
797,2,2460,3,49
199,4,2679,0,50
320,11,9451,2,51
83,8,7967,2,52
171,4,1184,0,53
121,5,1346,0,54
272,5,4345,1,55
540,4,3350,4,56
324,5,2129,0,57
157,4,1866,0,58
57,7,3986,1,59
293,8,6292,2,60
89,4,2698,0,61
487,3,976,3,62
364,6,5572,4,63
707,3,3731,3,64
67,6,2577,1,65
48,6,4495,1,66
297,2,1176,0,67
836,3,2309,3,68
226,3,2544,0,69
6,9,6827,2,70
430,2,2131,0,71
166,7,7038,2,72
571,2,1186,3,73
132,5,5713,1,74
209,3,3597,0,75
103,2,1072,0,76
780,2,1174,3,77
599,4,3732,4,78
791,3,3233,3,79
351,10,5561,2,80
348,5,2698,4,81
99,4,3828,1,82
159,8,7024,2,83
70,3,2764,0,84
254,7,5167,1,85
273,6,4323,1,86
244,2,1155,0,87
419,5,4595,4,88
3,7,6822,2,89
2,6,6608,1,90
92,6,6662,1,91
264,3,1652,0,92
299,3,2284,0,93
89,6,7378,2,94
109,4,2764,0,95
2,7,4413,1,96
235,3,4760,0,97
223,6,3526,1,98
660,4,2781,4,99
23,8,7854,2,100
123,8,4421,1,101
965,1,28,3,102
89,7,3228,1,103
542,4,4149,4,104
216,4,2636,0,105
56,3,3148,0,106
302,4,2514,0,107
262,11,7111,2,108
108,5,4790,1,109
459,3,1700,0,110
323,5,5940,4,111
560,2,518,3,112
333,4,2093,0,113
695,5,2515,4,114
199,7,7374,2,115
37,4,1052,0,116
29,6,6450,1,117
213,6,4586,1,118
436,6,5958,4,119
259,5,5209,1,120
499,5,3505,4,121
142,5,3562,1,122
27,3,2162,0,123
708,2,1344,3,124
37,6,3007,1,125
614,3,1665,3,126
952,1,170,3,127
382,2,2507,0,128
193,6,4308,1,129
165,4,2429,0,130
543,4,1953,4,131
246,3,4024,0,132
8,8,6495,2,133
187,4,5034,1,134
253,6,5356,1,135
370,8,8025,2,136
495,8,5393,4,137
232,2,898,0,138
68,7,5736,1,139
137,3,1180,0,140
329,9,8483,2,141
467,2,1770,3,142
179,8,5058,1,143
53,6,2692,1,144
143,10,8341,2,145
794,2,1181,3,146
147,7,4897,1,147
74,2,1038,0,148
203,6,7273,2,149
22,1,588,0,150
67,8,5607,2,151
270,4,2303,0,152
400,7,5243,4,153
9,11,11692,2,154
29,6,3719,1,155
114,5,2156,0,156
44,8,8622,2,157
340,4,3011,4,158
83,3,4038,0,159
903,2,612,3,160
69,5,2953,1,161
977,4,2153,3,162
644,4,2829,4,163
993,4,2063,3,164
170,6,5035,1,165
358,9,6385,2,166
469,4,3835,4,167
177,8,7116,2,169
44,8,5067,1,170
430,1,2290,0,171
452,6,2141,4,172
159,5,3461,1,173
40,2,642,0,174
225,4,4356,1,175
17,7,7277,2,176
92,4,3204,0,177
150,9,7621,2,178
11,5,2913,1,179
61,1,112,0,180
238,3,1820,0,181
34,7,3922,1,182
263,3,1604,0,183
99,9,7027,2,184
170,9,6276,2,185
397,3,1341,0,186
544,1,1461,3,187
64,4,3435,0,188
617,2,1167,3,189
1077,1,680,3,190
1144,2,187,3,191
44,8,4606,1,192
84,5,4529,1,193
21,6,4446,1,194
169,6,4780,1,195
442,5,2184,4,196
183,4,1945,0,197
139,7,8302,2,198
309,6,3200,4,199
98,8,9964,2,200
14,2,532,0,201
171,6,4031,1,202
437,3,3021,4,203
77,12,7768,2,204
148,11,9735,2,205
34,6,5144,1,206
214,8,5875,2,207
326,8,5588,2,208
7,7,5038,1,209
20,7,4155,1,210
133,10,6079,2,211
115,6,4938,1,212
302,6,6082,1,213
206,3,3736,0,214
379,4,2784,4,215
93,8,7854,2,216
119,5,3360,1,217
489,8,7871,2,218
19,6,2933,1,219
209,4,5269,1,220
259,6,2053,1,221
140,4,4176,1,222
28,4,4140,1,223
75,6,5223,1,224
3,3,3540,0,225
42,5,4307,1,226
313,4,3567,4,227
129,4,3912,1,228
331,6,6791,2,229
44,10,6747,2,230
278,6,1491,0,231
290,6,4911,1,232
384,5,4571,4,233
65,4,1438,0,234
378,4,3030,4,235
89,10,5901,2,236
394,7,5929,2,237
28,8,6777,2,238
240,7,4426,1,239
181,4,3413,0,240
207,3,3030,0,241
161,3,1952,0,242
93,7,3844,1,243
304,7,3884,1,244
656,3,4414,4,245
115,3,2371,0,246
627,5,2272,4,247
214,6,6769,1,248
1206,1,46,3,249
97,7,7278,2,250
37,8,6656,2,251
652,5,4925,4,252
47,8,5314,2,253
402,4,4580,4,254
660,5,3421,4,255
137,3,2619,0,256
469,4,4220,4,257
71,6,4070,1,258
190,4,1501,0,259
87,6,6729,1,260
79,8,4800,1,261
140,8,2578,1,262
71,8,5443,2,263
190,10,6338,2,264
84,5,5882,1,265
40,7,5236,1,266
26,5,3800,1,267
406,3,5520,4,268
184,7,5529,1,269
5,6,2673,1,270
57,5,4569,1,271
541,3,1164,3,272
221,6,4747,1,273
474,6,4923,4,274
28,3,4475,0,275
284,5,4256,1,276
141,7,5886,1,277
6,10,3978,2,278
350,4,4316,4,279
373,5,5002,4,280
208,2,1522,0,281
109,8,8036,2,282
218,6,1927,0,283
258,3,1741,0,284
324,9,7804,2,285
451,2,1035,0,286
889,1,2270,3,287
81,5,4146,1,288
265,6,5794,1,289
352,4,4081,4,290
253,4,2542,0,291
318,4,4388,4,292
107,5,1023,0,293
187,3,2086,0,294
122,2,919,0,295
568,6,3712,4,296
46,11,9973,2,297
77,5,4685,1,298
513,5,3850,4,299
130,6,6255,1,300
110,3,2529,0,301
46,7,3012,1,302
170,4,2202,0,303
142,7,3882,1,304
177,5,1611,0,305
436,4,2936,4,306
866,1,162,3,307
14,3,1496,0,308
336,3,1577,0,309
19,3,2026,0,310
399,7,4203,4,311
543,3,1305,3,312
17,9,7423,2,313
75,4,1702,0,314
128,11,10701,2,315
177,3,1004,0,316
335,3,3693,0,317
106,9,10517,2,318
170,5,4310,1,319
97,5,2681,0,320
671,4,1975,3,321
301,5,6348,1,322
247,3,1239,0,323
2,5,4893,1,324
435,8,3468,4,325
171,5,5064,1,326
43,6,1103,0,327
393,6,4262,4,328
583,8,6668,2,329
385,9,6613,2,330
295,5,2519,0,331
22,6,2774,1,332
144,4,3330,0,333
82,5,6496,1,334
135,6,7128,2,335
880,2,2313,3,336
129,4,4010,1,337
76,4,5029,1,338
152,5,3015,1,339
29,10,7807,2,340
456,5,2236,4,341
107,10,8579,2,342
527,5,3439,4,343
505,7,5200,4,344
2,7,6611,2,345
79,5,3956,1,346
162,6,3608,1,347
187,9,7918,2,348
252,4,4422,4,349
378,5,1525,0,350
238,8,6217,2,351
337,3,785,0,352
74,7,6682,2,353
222,4,3322,0,354
286,3,1963,0,355
473,4,3902,4,356
265,6,5597,1,357
32,4,1330,0,358
220,5,5185,1,359
30,5,4218,1,360
32,3,5171,1,361
1294,1,48,3,362
65,5,3742,1,363
86,6,4676,1,364
536,3,1479,3,365
477,2,2361,3,366
97,3,2897,0,367
513,2,2552,3,368
90,4,3559,0,369
155,6,6487,1,370
439,5,2836,4,371
235,5,3139,1,372
1121,2,895,3,373
6,7,8298,2,374
482,4,2266,4,375
130,7,4939,1,376
38,6,2696,1,377
742,3,1698,3,378
432,3,799,0,379
51,4,3302,0,380
133,4,3193,0,381
83,3,3075,0,382
157,4,1854,0,383
89,6,6279,1,384
248,6,5419,1,385
76,5,3029,1,386
144,3,2634,0,387
106,4,2667,0,388
22,5,3293,1,389
170,3,2129,0,390
442,5,3852,4,391
199,4,2681,0,392
295,5,3049,4,393
617,5,5823,4,394
228,2,3031,0,395
837,5,2875,3,396
296,6,2587,4,397
69,6,4821,1,398
421,4,3747,4,399
25,8,3882,1,400
73,8,6881,2,401
39,9,5054,2,402
299,6,5162,1,403
93,7,4850,1,404
143,2,128,0,405
388,8,6256,2,406
341,2,1030,0,407
457,4,1512,4,408
64,9,6780,2,409
791,1,48,3,410
224,8,2917,1,411
51,7,6276,2,412
50,3,1617,0,413
37,2,2233,0,414
897,2,895,3,415
325,3,2321,0,416
53,4,2298,0,417
61,4,2734,0,418
85,5,3670,1,419
460,5,1126,4,420
77,6,3615,1,421
550,5,3581,4,422
672,3,920,3,423
620,5,3822,4,424
63,5,3826,1,425
182,4,3676,0,426
139,5,2848,1,427
340,7,4041,1,428
20,4,1296,0,429
921,3,1499,3,430
2,5,1465,0,431
146,8,6182,2,432
597,2,1892,3,433
31,7,5739,1,434
19,7,6023,1,435
